name,address,tel,business_hours,url,spot
おきなわ屋本店,沖縄県那覇市牧志1-2-31 おきなわ屋本店,098-860-7848,9：30～22：00,https://tabi-sake.com/shop/%e6%b2%96%e7%b8%84%e6%9c%ac%e5%b3%b6%e3%80%80%e3%81%8a%e3%81%8d%e3%81%aa%e3%82%8f%e5%b1%8b%e6%9c%ac%e5%ba%97/,30.沖縄本島
おきなわ屋泡盛屋　国際店,沖縄県那覇市松尾2-8-5　おきなわ屋泡盛屋 国際店,098-868-5252,10：00～22：00,https://tabi-sake.com/shop/30okinawayakokusai/,30.沖縄本島
おきなわ屋泡盛屋　北谷店,沖縄県中頭郡北谷町美浜9-2　おきなわ屋泡盛屋 北谷店,098-975-6553,10：30～21：00,https://tabi-sake.com/shop/30okinawayachatan/,30.沖縄本島
泡盛館,沖縄県那覇市首里寒川町1-81 泡盛館,098-885-5681,10:00～18:30,https://tabi-sake.com/shop/%e6%b2%96%e7%b8%84%e6%9c%ac%e5%b3%b6%e3%80%80%e6%b3%a1%e7%9b%9b%e9%a4%a8/,30.沖縄本島
道の駅 許田,沖縄県名護市許田17-1　道の駅 許田,0980-54-0880,8:30～19:00,https://tabi-sake.com/shop/%e6%b2%96%e7%b8%84%e6%9c%ac%e5%b3%b6%e3%80%80%e9%81%93%e3%81%ae%e9%a7%85-%e8%a8%b1%e7%94%b0/,30.沖縄本島
キラク花城,沖縄県那覇市牧志3-5-4,098-863-1110,10:00～20:00 、休日　旧盆、正月(1日～3日）,https://tabi-sake.com/shop/%e6%b2%96%e7%b8%84%e6%9c%ac%e5%b3%b6%e3%80%80%e3%82%ad%e3%83%a9%e3%82%af%e8%8a%b1%e5%9f%8e/,30.沖縄本島
那覇空港国内線ターミナルビル　南ウイング売店,沖縄県那覇市鏡水150,098-840-1473,6:30～20:30,https://tabi-sake.com/shop/%e6%b2%96%e7%b8%84%e6%9c%ac%e5%b3%b6%e3%80%80%e9%82%a3%e8%a6%87%e7%a9%ba%e6%b8%af%e5%9b%bd%e5%86%85%e7%b7%9a%e3%82%bf%e3%83%bc%e3%83%9f%e3%83%8a%e3%83%ab%e3%83%93%e3%83%ab%e3%80%80%e5%8d%97%e3%82%a6/,30.沖縄本島
那覇空港国内線ターミナルビル　北ウイング売店,沖縄県那覇市鏡水150,098-840-1473,6:30～20:30,https://tabi-sake.com/shop/%e6%b2%96%e7%b8%84%e6%9c%ac%e5%b3%b6%e3%80%80%e9%82%a3%e8%a6%87%e7%a9%ba%e6%b8%af%e5%9b%bd%e5%86%85%e7%b7%9a%e3%82%bf%e3%83%bc%e3%83%9f%e3%83%8a%e3%83%ab%e3%83%93%e3%83%ab%e3%80%80%e5%8c%97%e3%82%a6/,30.沖縄本島
那覇空港国内線ターミナルビル　ハイビ売店,沖縄県那覇市鏡水150,098-840-1473,6:30～20:30,https://tabi-sake.com/shop/%e6%b2%96%e7%b8%84%e6%9c%ac%e5%b3%b6%e3%80%80%e9%82%a3%e8%a6%87%e7%a9%ba%e6%b8%af%e5%9b%bd%e5%86%85%e7%b7%9a%e3%82%bf%e3%83%bc%e3%83%9f%e3%83%8a%e3%83%ab%e3%83%93%e3%83%ab%e3%80%80%e3%83%8f%e3%82%a4/,30.沖縄本島
那覇空港国内線ターミナルビル　グルクン売店,沖縄県那覇市鏡水150,098-840-1473,6:30～20:30,https://tabi-sake.com/shop/%e6%b2%96%e7%b8%84%e6%9c%ac%e5%b3%b6%e3%80%80%e9%82%a3%e8%a6%87%e7%a9%ba%e6%b8%af%e5%9b%bd%e5%86%85%e7%b7%9a%e3%82%bf%e3%83%bc%e3%83%9f%e3%83%8a%e3%83%ab%e3%83%93%e3%83%ab%e3%80%80%e3%82%b0%e3%83%ab/,30.沖縄本島
那覇空港国内線ターミナルビル　さくら売店,沖縄県那覇市鏡水150,098-840-1473,6:30～20:30,https://tabi-sake.com/shop/%e6%b2%96%e7%b8%84%e6%9c%ac%e5%b3%b6%e3%80%80%e9%82%a3%e8%a6%87%e7%a9%ba%e6%b8%af%e5%9b%bd%e5%86%85%e7%b7%9a%e3%82%bf%e3%83%bc%e3%83%9f%e3%83%8a%e3%83%ab%e3%83%93%e3%83%ab%e3%80%80%e3%81%95%e3%81%8f/,30.沖縄本島
ホテル オリオン モトブ リゾート＆スパ,沖縄県国頭郡本部町備瀬148番地1 ホテル オリオン モトブ リゾート＆スパ,0980-51-7300,,https://tabi-sake.com/shop/%e6%b2%96%e7%b8%84%e6%9c%ac%e5%b3%b6%e3%80%80%e3%83%9b%e3%83%86%e3%83%ab-%e3%82%aa%e3%83%aa%e3%82%aa%e3%83%b3-%e3%83%a2%e3%83%88%e3%83%96-%e3%83%aa%e3%82%be%e3%83%bc%e3%83%88%ef%bc%86%e3%82%b9/,30.沖縄本島
道の駅　ゆいゆい国頭　国頭村観光物産センター,沖縄県国頭郡国頭村字奥間1605　道の駅 ゆいゆい国頭,0980-41-5555,9:00～18:00,https://tabi-sake.com/shop/%e6%b2%96%e7%b8%84%e6%9c%ac%e5%b3%b6%e3%80%80%e9%81%93%e3%81%ae%e9%a7%85%e3%80%80%e3%82%86%e3%81%84%e3%82%86%e3%81%84%e5%9b%bd%e9%a0%ad%e3%80%80%e5%9b%bd%e9%a0%ad%e6%9d%91%e8%a6%b3%e5%85%89%e7%89%a9/,30.沖縄本島
喜屋武商店,沖縄県那覇市前島3-4-16,098-868-5270,9:00～20:00,https://tabi-sake.com/shop/%e6%b2%96%e7%b8%84%e6%9c%ac%e5%b3%b6%e3%80%80%e5%96%9c%e5%b1%8b%e6%ad%a6%e5%95%86%e5%ba%97/,30.沖縄本島
ショップやまかわ,沖縄県国頭郡本部町並里59番地,0980-47-5651,10：00～18：00,https://tabi-sake.com/shop/30%e6%b2%96%e7%b8%84%e6%9c%ac%e5%b3%b6%e3%80%80%e3%82%b7%e3%83%a7%e3%83%83%e3%83%97%e3%82%84%e3%81%be%e3%81%8b%e3%82%8f/,30.沖縄本島
道の駅 羽地の駅,沖縄県名護市字真喜屋763番地1　羽地の駅,0980-58-2358,9：00～19：00,https://tabi-sake.com/shop/30%e6%b2%96%e7%b8%84%e6%9c%ac%e5%b3%b6%e3%80%80%e7%be%bd%e5%9c%b0%e3%81%ae%e9%a7%85/,30.沖縄本島
ヒルトン沖縄瀬底リゾート,沖縄県国頭郡本部町瀬底5750　ヒルトン沖縄瀬底リゾート,0980-47-6300,,https://tabi-sake.com/shop/30%e3%83%92%e3%83%ab%e3%83%88%e3%83%b3%e6%b2%96%e7%b8%84%e7%80%ac%e5%ba%95%e3%83%aa%e3%82%be%e3%83%bc%e3%83%88/,30.沖縄本島
おきなわ屋泡盛屋　牧志店,沖縄県那覇市牧志3-13-22　おきなわ屋泡盛蔵 牧志店,098-894-8187,12:00～21:00,https://tabi-sake.com/shop/30okinawayamakishiten/,30.沖縄本島
おきなわ屋泡盛屋　空港南店,沖縄県那覇市鏡水150番地 2階 おきなわ屋泡盛屋　空港南店,098-851-7738,7:00～20:30,https://tabi-sake.com/shop/30okinawayaawamori_airport/,30.沖縄本島
山川酒造 那覇支店,沖縄県那覇市天久1-6-1　山川酒造那覇支店,098-868-3855,9:00～18:00（12:00-13:00昼休）、土日・祝日休み,https://tabi-sake.com/shop/30yamakawa_naha/,30.沖縄本島
千寿乃市場,沖縄県那覇市牧志3丁目1-5　千寿乃市場,098-862-0314,10:00-21:00,https://tabi-sake.com/shop/30senjunoichiba/,30.沖縄本島
