name,address,tel,business_hours,url,spot
ホテル千秋閣,岩手県花巻市湯本1-125　ホテル千秋閣,0198-37-2150,8：00～22：00,https://tabi-sake.com/shop/%e5%b9%b3%e6%b3%89%e3%83%bb%e8%8a%b1%e5%b7%bb%e3%80%80%e3%83%9b%e3%83%86%e3%83%ab%e5%8d%83%e7%a7%8b%e9%96%a3/,20.平泉・花巻
ホテル紅葉館,岩手県花巻市湯本1-125　ホテル紅葉館,0198-37-2140,8：00～22：00,https://tabi-sake.com/shop/%e5%b9%b3%e6%b3%89%e3%83%bb%e8%8a%b1%e5%b7%bb%e3%80%80%e3%83%9b%e3%83%86%e3%83%ab%e7%b4%85%e8%91%89%e9%a4%a8/,20.平泉・花巻
ホテル花巻,岩手県花巻市湯本1-125　ホテル花巻,0198-37-2180,8：00～22：00,https://tabi-sake.com/shop/%e5%b9%b3%e6%b3%89%e3%83%bb%e8%8a%b1%e5%b7%bb%e3%80%80%e3%83%9b%e3%83%86%e3%83%ab%e8%8a%b1%e5%b7%bb/,20.平泉・花巻
道の駅「石鳥谷」お土産物産館「酒匠館」,岩手県花巻市石鳥谷町中寺林第7地割17-3,0198-45-6868,9：00～17：30,https://tabi-sake.com/shop/%e5%b9%b3%e6%b3%89%e8%8a%b1%e5%b7%bb%e3%80%80%e7%9f%b3%e9%b3%a5%e8%b0%b7%e8%a6%b3%e5%85%89%e7%89%a9%e7%94%a3%e9%a4%a8%e3%80%8c%e9%85%92%e5%8c%a0%e9%a4%a8%e3%80%8d/,20.平泉・花巻
ホテル志戸平,岩手県花巻市湯口字志戸平26　ホテル志戸平,0198-25-2011,8：00～19：00,https://tabi-sake.com/shop/%e5%b9%b3%e6%b3%89%e8%8a%b1%e5%b7%bb%e3%80%80%e3%83%9b%e3%83%86%e3%83%ab%e5%bf%97%e6%88%b8%e5%b9%b3/,20.平泉・花巻
道の駅はなまき西南　物産館すぎの樹,岩手県花巻市轟木７地割203番地　道の駅 はなまき西南,0198-29-5522,9:00～17:00,https://tabi-sake.com/shop/2hanamakiseinan_suginoki/,20.平泉・花巻
道の駅とうわ,岩手県花巻市東和町安俵6区147-2　道の駅とうわ,0198-42-3006,,https://tabi-sake.com/shop/20michiekitouwa/,20.平泉・花巻
道の駅 平泉,岩手県西磐井郡平泉町平泉字伽羅楽112-2　道の駅 平泉,0191-48-4795,9:00～17:00（4月-11月は18:00）,https://tabi-sake.com/shop/20michiekihiraizumi/,20.平泉・花巻
歴史公園 えさし藤原の郷,岩手県奥州市江刺岩谷堂字小名丸86-1　えさし藤原の郷,0197-35-7791,9:00～17:00,https://tabi-sake.com/shop/20esashifujiwaranosato/,20.平泉・花巻
宮澤商店　花巻空港売店,岩手県花巻市東宮野目第2地割53 　宮澤商店 花巻空港売店,0198-26-2229,8:00～18:45,https://tabi-sake.com/shop/20miyazawasyouten/,20.平泉・花巻
展勝地レストハウス,岩手県北上市立花14-21-1　展勝地レストハウス,0197-64-2110,10:00～17:00、月曜定休（祝日の場合は翌日）,https://tabi-sake.com/shop/20tenshouchi/,20.平泉・花巻
Hotel & Resorts SAGA-KARATSU,佐賀県唐津市東唐津4-9-20　ホテル＆リゾーツ 佐賀唐津,0955-72-0111,<strong>※リノベーション工事の為、2024年1月28日～3月31日まで休止</strong>,https://tabi-sake.com/shop/%e5%94%90%e6%b4%a5%e3%80%80%e5%94%90%e6%b4%a5%e3%83%ad%e3%82%a4%e3%83%a4%e3%83%ab%e3%83%9b%e3%83%86%e3%83%ab/,21.肥前国（佐賀）
