name,address,tel,business_hours,url,spot
道の駅　伊方きらら館,愛媛県西宇和郡伊方町九町越3番耕地179-1　道の駅 伊方きらら館,0894-39-0230,9:00～17:30,https://tabi-sake.com/shop/10ikatakirarakan/,10.伊予国
セブン-イレブン宇和島栄町港２丁目店,愛媛県宇和島市栄町港2丁目600-10　セブン-イレブン宇和島栄町港２丁目店,0895-25-6055,,https://tabi-sake.com/shop/10sevenuwajimasakae2/,10.伊予国
道の駅 多々羅しまなみ公園,愛媛県今治市上浦町井口9180-2　道の駅 多々羅しまなみ公園,0897-87-3866,9:00～17:00,https://tabi-sake.com/shop/10tatarashimanami/,10.伊予国
道の駅 伯方Ｓ・Ｃパーク　マリンオアシスはかた,愛媛県今治市伯方町叶浦甲1668-1　道の駅 伯方Ｓ・Ｃパーク　マリンオアシスはかた,0897-72-3300,1/9～3/15まで毎週火曜定休日,https://tabi-sake.com/shop/10hakata_scpark/,10.伊予国
道の駅 よしうみいきいき館,愛媛県今治市吉海町名4520-2　道の駅 よしうみいきいき館,0897-84-3710,1/9～3/15まで毎週水曜定休日,https://tabi-sake.com/shop/10yoshiumiikiikikan/,10.伊予国
道の駅 みしょうＭＩＣ,愛媛県南宇和郡愛南町御荘平城4296-1　道の駅 みしょうＭＩＣ,0895-72-1115,7:00～19:00,https://tabi-sake.com/shop/10misyoumic/,10.伊予国
道の駅　天空の郷さんさん,愛媛県上浮穴郡久万高原町入野1855番地6　道の駅　天空の郷さんさん,0892-21-3400,9:00～17:00（季節によって営業時間の延長あり）</br>1月1日定休,https://tabi-sake.com/shop/10tenkuunosatosansan/,10.伊予国
マイントピア別子,愛媛県新居浜市立川町707-3　マイントピア別子,0897-43-1801,9:30～17:00,https://tabi-sake.com/shop/10minetopiabesshi/,10.伊予国
丸十酒店,神奈川県横浜市中区住吉町２丁目２４−２　丸十酒店,045-663-5345,11：00～21：00　※日曜定休,https://tabi-sake.com/shop/11%e4%b8%b8%e5%8d%81%e9%85%92%e5%ba%97/,11.横浜から湘南
安田屋酒店,神奈川県横浜市中区山下町130番地　安田屋酒店,045-641-9657,9:00～19:00 水曜定休,https://tabi-sake.com/shop/11%e5%ae%89%e7%94%b0%e5%b1%8b%e9%85%92%e5%ba%97/,11.横浜から湘南
ファミリーマート 横浜大桟橋通り店,神奈川県横浜市中区山下町223-1 ＮＵ関内ビル　ファミリーマート 横浜大桟橋通り店,045-227-5673,,https://tabi-sake.com/shop/11famiyokohamaosanbashi/,11.横浜から湘南
デイリーヤマザキ 新横浜駅前店,神奈川県横浜市港北区新横浜3-6-1 新横浜SRビル1F　デイリーヤマザキ 新横浜駅前店,045-474-1275,,https://tabi-sake.com/shop/11dyamazakishinyokohama/,11.横浜から湘南
地鶏ともつ鍋　とりぎゅたぶう,神奈川県横浜市南区宿町2-34 HG5ビル1F　とりぎゅたぶう,045-715-0180,ランチ11:30～14:30<br/>ディナー17:00～23:30（年中無休、ランチのみ月曜休）,https://tabi-sake.com/shop/11torigyutabu/,11.横浜から湘南
セブンイレブン鎌倉小町2丁目店,神奈川県鎌倉市小町2丁目16-27　セブンイレブン鎌倉小町2丁目店,0467-24-4175,,https://tabi-sake.com/shop/11sevenkamakurakomachi2/,11.横浜から湘南
一本屋,埼玉県秩父郡長瀞町長瀞459,0494-66-0158,,https://tabi-sake.com/shop/%e7%a7%a9%e7%88%b6%e3%83%bb%e9%95%b7%e7%80%9e%e3%80%80%e4%b8%80%e6%9c%ac%e5%b1%8b%e3%81%b2%e3%81%a8%e3%82%82%e3%81%a8%e3%82%84/,12.秩父・長瀞
