name,address,tel,business_hours,url,spot
「魚春」本店,三重県伊勢市宇治中之切町49　魚春本店,0596-22-4885,9：00～17：00　水曜定休（祝日の場合は翌日）,https://tabi-sake.com/shop/42uoharuhonten/,42.伊勢志摩
「魚春」五十鈴川店,三重県伊勢市宇治中之切町9　魚春 五十鈴川店,0596-20-7752,9：00～17：00　水曜定休（祝日の場合は翌日）,https://tabi-sake.com/shop/42uoharuisuzugawa/,42.伊勢志摩
道の駅 奥伊勢 木つつ木館,三重県度会郡大紀町滝原870-37 道の駅 奥伊勢 木つつ木館,0598-86-3229,9:00～17:00,https://tabi-sake.com/shop/42yamazakikometora/,42.伊勢志摩
酒の井なみ屋,石川県 金沢市出雲町イ４５ー２　酒の井なみ屋,076-233-1738,10:00～17:00</br>（定休日）日・祝・第３水曜日,https://tabi-sake.com/shop/2763/,43.加賀・金沢
北陸 加賀 山代温泉 ゆのくに天祥,石川県加賀市山代温泉19-49-1　ゆのくに天祥,0761-77-1234,7:00〜22:00,https://tabi-sake.com/shop/%e5%8a%a0%e8%b3%80%e9%87%91%e6%b2%a2%e3%80%80%e3%82%86%e3%81%ae%e3%81%8f%e3%81%ab%e5%a4%a9%e7%a5%a5/,43.加賀・金沢
ひがしやま酒楽,石川県金沢市東山1-25-5　ひがしやま酒楽,076-251-1139,9:00〜17:00,https://tabi-sake.com/shop/43%e5%8a%a0%e8%b3%80%e9%87%91%e6%b2%a2%e3%80%80%e3%81%b2%e3%81%8c%e3%81%97%e3%82%84%e3%81%be%e9%85%92%e6%a5%bd/,43.加賀・金沢
和田酒店,石川県加賀市山代温泉万松園通４７ 和田酒店,0761-76-0120,8：30～20：00,https://tabi-sake.com/shop/43%e5%92%8c%e7%94%b0%e9%85%92%e5%ba%97/,43.加賀・金沢
酒前線きたなか,石川県金沢市片町1丁目12番24号　酒前線きたなか,076-222-6330,10:30～19:30</br>金・土・祝祭日前日20：00まで,https://tabi-sake.com/shop/43sakekitanaka/,43.加賀・金沢
小松土産店,石川県小松市土居原町13-18　小松土産店,0761-21-8208,8:00～20:00,https://tabi-sake.com/shop/43komatsutosanten/,43.加賀・金沢
四国ショップ８８,香川県高松市サンポート2番1号　マリタイムプラザ高松内　四国ショップ８８,087-822-0459,10：00～20：00　年中無休,https://tabi-sake.com/shop/%e7%80%ac%e6%88%b8%e5%a4%a7%e6%a9%8b%e3%80%80%e5%9b%9b%e5%9b%bd%e3%82%b7%e3%83%a7%e3%83%83%e3%83%97%ef%bc%98%ef%bc%98/,44.讃岐
リカー＆コンビニエンスみたに,香川県高松市西宝町3丁目10-9,087-835-4477,,https://tabi-sake.com/shop/44rcvmitani/,44.讃岐
Benefit Station きたの,香川県小豆郡小豆島町安田144-5　Benefit Station きたの,0879-82-0276,9:00～22:00（日・祝祭日は20：00迄）,https://tabi-sake.com/shop/44benefit-stationkitano/,44.讃岐
湯元こんぴら温泉華の湯　紅梅亭 ,香川県仲多度郡琴平町556－1 　湯元こんぴら温泉華の湯 紅梅亭,0877-75-1111,,https://tabi-sake.com/shop/10koubaitei_maruchu/,44.讃岐
高松空港sky J（ロビー店）,香川県高松市香南町岡1312-7　高松空港旅客ターミナルビル内　skyＪ,087-814-3419,8:30～20:00,https://tabi-sake.com/shop/44takamatsu_skyjlob/,44.讃岐
吉乃友酒造 ショップ,富山県富山市婦中町下井沢3285-1　吉乃友酒造,076-466-2308,8:00〜17:00,https://tabi-sake.com/shop/%e5%90%89%e4%b9%83%e5%8f%8b%e9%85%92%e9%80%a0%e3%82%b7%e3%83%a7%e3%83%83%e3%83%97/,45.越中とやま
石川酒店,富山県富山市北新町1丁目2-20　石川酒店,076-432-5728,8:30～21:00<br/>定休日／日曜,https://tabi-sake.com/shop/%e7%9f%b3%e5%b7%9d%e9%85%92%e5%ba%97/,45.越中とやま
(有)石坂善商店,富山県富山市中央通り3丁目4-3　石坂善商店,076-425-3265,9：30～18：00<br/>定休日／日曜・祭日,https://tabi-sake.com/shop/%e7%9f%b3%e5%9d%82%e5%96%84%e5%95%86%e5%ba%97/,45.越中とやま
道の駅「雨晴」,富山県高岡市太田24番74　道の駅 雨晴,0766-53-5661,9:00-17:00（年中無休）,https://tabi-sake.com/shop/%e9%81%93%e3%81%ae%e9%a7%85%e3%80%8c%e9%9b%a8%e6%99%b4%e3%80%8d/,45.越中とやま
みちcafe wave,富山県滑川市中川原410　みちcafe wave,076-476-9300,10:00～16:00,https://tabi-sake.com/shop/45michiafe-wave/,45.越中とやま
くらま　アスティ京都店,京都府京都市下京区東塩小路高倉町8-3 京都八条口アスティロード　くらま　アスティ京都店,075-681-1539,10:00-23:00(L.O22:00),https://tabi-sake.com/shop/46%e4%ba%ac%e9%83%bd%e5%b8%82%e3%80%80%e3%81%8f%e3%82%89%e3%81%be%e3%80%80%e3%82%a2%e3%82%b9%e3%83%86%e3%82%a3%e4%ba%ac%e9%83%bd%e5%ba%97/,46.京都
卯田光商店,京都府京都市東山区東大路上田町85　卯田光商店,075-561-4173,10：00～20：00,https://tabi-sake.com/shop/46%e4%ba%ac%e9%83%bd%e5%b8%82%e3%80%80%e5%8d%af%e7%94%b0%e5%85%89%e5%95%86%e5%ba%97/,46.京都
吟醸酒房　油長,京都府京都市伏見区東大手町780　油長,075-601-0147,10:00～20:00</br>火曜日定休（祝日の場合17時迄営業、翌水曜休）,https://tabi-sake.com/shop/46ginjosyubo_aburacho/,46.京都
セブン-イレブン 東山五条店,京都府京都市東山区五条橋東２丁目７　セブン-イレブン 東山五条店,075-551-7007,,https://tabi-sake.com/shop/46seven_higashiyamagojyou/,46.京都
道の駅 くみはまSANKAIKAN（サンカイカン）,京都府京丹後市久美浜町浦明1709　道の駅 くみはまSANKAIKAN,0772-83-2000,8:00～17:00,https://tabi-sake.com/shop/46kumihama_sankaikan/,46.京都
綿善旅館,京都府京都市中京区柳馬場通六角下ル井筒屋町413　綿善旅館,075-223-0111,,https://tabi-sake.com/shop/46watazenryokan/,46.京都
鷹泉閣 岩松旅館,宮城県仙台市青葉区作並温泉元湯 鷹泉閣 岩松旅館,022-395-2211（代）,7:00～21:00,https://tabi-sake.com/shop/47%e4%bb%99%e5%8f%b0%e3%80%80%e9%b7%b9%e6%b3%89%e9%96%a3-%e5%b2%a9%e6%9d%be%e6%97%85%e9%a4%a8/,47.宮城
セブンイレブン 仙台萩野町2丁目店,宮城県仙台市宮城野区萩野町2丁目8-22,022-232-0171,,https://tabi-sake.com/shop/47%e3%82%bb%e3%83%96%e3%83%b3-%e3%82%a4%e3%83%ac%e3%83%96%e3%83%b3-%e4%bb%99%e5%8f%b0%e8%90%a9%e9%87%8e%e7%94%ba2%e4%b8%81%e7%9b%ae%e5%ba%97/,47.宮城
八重樫酒店,宮城県仙台市宮城野区二十人町307-13,022-256-3363,月～金 10:00～21:00</br>土日祝 10:00～20:00【定休日】毎月 第一・第三・第五 日曜日,https://tabi-sake.com/shop/47%e5%85%ab%e9%87%8d%e6%a8%ab%e9%85%92%e5%ba%97/,47.宮城
セブンイレブン 仙台中央４丁目店,宮城県仙台市青葉区中央４丁目８−１,022-267-3857,,https://tabi-sake.com/shop/47%e3%82%bb%e3%83%96%e3%83%b3%e3%82%a4%e3%83%ac%e3%83%96%e3%83%b3-%e4%bb%99%e5%8f%b0%e4%b8%ad%e5%a4%ae%ef%bc%94%e4%b8%81%e7%9b%ae%e5%ba%97/,47.宮城
山陽百貨店,兵庫県姫路市南町1番地 山陽百貨店,079-223-1231,10：00～19：00,https://tabi-sake.com/shop/%e5%a7%ab%e8%b7%af%e5%9f%8e%e3%83%bb%e7%ab%b9%e7%94%b0%e5%9f%8e%e3%80%80%e5%b1%b1%e9%99%bd%e7%99%be%e8%b2%a8%e5%ba%97/,48.姫路から城崎温泉
岡本酒店,兵庫県豊岡市城崎町湯島118,0796-32-2138 ,9:00～20:00 ,https://tabi-sake.com/shop/48%e5%a7%ab%e8%b7%af%e3%83%bb%e5%9f%8e%e5%b4%8e%e6%b8%a9%e6%b3%89%e3%80%80%e5%b2%a1%e6%9c%ac%e9%85%92%e5%ba%97/,48.姫路から城崎温泉
いっぴんさん。伊丹空港店,大阪府豊中市蛍池西町3-555 大阪国際空港　南ターミナル2F　セキュリティチェック後エリア,06-4867-3010,7:00～20:00,https://tabi-sake.com/shop/ippinsan-itami/,48.姫路から城崎温泉
