name,address,tel,business_hours,url,spot
壽酒造株式会社　直営所,大阪府高槻市富田町三丁目26-12,072-696-0003,10：00～17：00（土日定休）,https://tabi-sake.com/shop/40kotobukisyuzou_shop/,40.ええで！おおさか
いっぴんさん。エキマルシェ大阪店,大阪府大阪市北区梅田3丁目1-1　いっぴんさん。エキマルシェ大阪店,06-4256-0573,11:00～22:00,https://tabi-sake.com/shop/40ippinsan_ekimaru/,40.ええで！おおさか
いっぴんさん。伊丹空港店,大阪府豊中市蛍池西町3-555 大阪国際空港　南ターミナル2F　セキュリティチェック後エリア,06-4867-3010,7:00～20:00,https://tabi-sake.com/shop/ippinsan-itami/,40.ええで！おおさか
セブンイレブン大阪南森町店,大阪府大阪市北区南森町1丁目3-19　セブンイレブン大阪南森町店,06-6361-7511,,https://tabi-sake.com/shop/40se_osakaminamimorimachi/,40.ええで！おおさか
曾木の滝　なりざわ,鹿児島県伊佐市大口宮人635-11　曾木の滝公園内,0995-28-2345,平日（8：30～17：00）/土・日・祭（8：30～18：30）　※季節によって変わります,https://tabi-sake.com/shop/%e8%96%a9%e6%91%a9%e3%80%80%e6%9b%be%e6%9c%a8%e3%81%ae%e6%bb%9d%e3%80%80%e3%81%aa%e3%82%8a%e3%81%96%e3%82%8f/,41.鹿児島
ながよし酒店,鹿児島県指宿市山川岡児ヶ水1582-13　ながよし酒店,0993-35-0810,8:30～17:00　年中無休,https://tabi-sake.com/shop/41nagayoshisaketen/,41.鹿児島
道の駅「樋脇」遊湯館　物産直売所「ふとどん市場」,鹿児島県薩摩川内市樋脇町市比野156　道の駅 樋脇,0996-38-2506,【4月～9月】8:30～18:30 、【10月～3月】8:30～18:00,https://tabi-sake.com/shop/41%e9%81%93%e3%81%ae%e9%a7%85-%e6%a8%8b%e8%84%87%e3%80%80%e9%81%8a%e6%b9%af%e9%a4%a8/,41.鹿児島
道の駅山川港 活お海道（いおかいどう）,鹿児島県指宿市山川金生町1-10　道の駅山川港 活お海道,0993-27-6507,8:30～17：30</br>第3水曜日定休（祝日の場合はその翌日）,https://tabi-sake.com/shop/41yamakawakou_iokaidou/,41.鹿児島
髙橋酒店,三重県伊勢市宇治今在家町４３　髙橋酒店,0596-22-2567,10：00~17：00 （水曜日定休）,https://tabi-sake.com/shop/%e4%bc%8a%e5%8b%a2%e5%bf%97%e6%91%a9%e3%80%80%e9%ab%98%e6%a9%8b%e9%85%92%e5%ba%97/,42.伊勢志摩
めおと岩ショップ,三重県伊勢市二見町江580　伊勢夫婦岩めおと横丁,0596-43-4111,9：30～16：30　定休日：不定休,https://tabi-sake.com/shop/meotoiwashop/,42.伊勢志摩
